x,y,seed,run,rssi_dbm,snr_db,goodput_mbps,rtt_ms,delay_ms,loss
6.000000,1.000000,1,57,-50.200726,43.788974,6.576000,147.124906,-1.000000,0.342190
6.000000,3.000000,1,58,-51.475888,42.513812,6.598400,147.572456,-1.000000,0.339949
6.000000,5.000000,1,59,-53.457648,40.532053,6.604800,148.098171,-1.000000,0.339309
6.000000,7.000000,1,60,-55.618984,38.370716,6.598400,148.837876,-1.000000,0.339949
6.000000,9.000000,1,61,-57.700488,36.289212,6.617600,147.372158,-1.000000,0.338028
6.000000,-11.000000,1,51,-59.616195,34.373505,6.534400,148.156628,-1.000000,0.346351
6.000000,-13.000000,1,50,-61.354008,32.635692,6.617600,145.985141,-1.000000,0.338028
6.000000,-15.000000,1,49,-62.927308,31.062392,6.598400,146.208205,-1.000000,0.339949
6.000000,-1.000000,1,56,-50.200726,43.788974,6.524800,146.709820,-1.000000,0.347311
6.000000,-3.000000,1,55,-51.475888,42.513812,6.560000,148.184307,-1.000000,0.343790
6.000000,-5.000000,1,54,-53.457648,40.532053,6.556800,148.828912,-1.000000,0.344110
6.000000,-7.000000,1,53,-55.618984,38.370716,6.598400,147.495462,-1.000000,0.339949
6.000000,-9.000000,1,52,-57.700488,36.289212,6.560000,147.725522,-1.000000,0.343790
8.000000,11.000000,1,78,-60.685276,33.304424,6.582400,146.624041,-1.000000,0.341549
8.000000,13.000000,1,79,-62.188039,31.801661,6.576000,148.260517,-1.000000,0.342190
8.000000,15.000000,1,80,-63.591168,30.398532,6.569600,147.579388,-1.000000,0.342830
8.000000,1.000000,1,73,-53.871400,40.118300,6.556800,146.908362,-1.000000,0.344110
8.000000,3.000000,1,74,-54.627543,39.362157,6.563200,147.857780,-1.000000,0.343470
8.000000,5.000000,1,75,-55.918550,38.071150,6.553600,148.124747,-1.000000,0.344430
8.000000,7.000000,1,76,-57.473877,36.515823,6.566400,148.032996,-1.000000,0.343150
8.000000,9.000000,1,77,-59.098220,34.891480,6.572800,147.468414,-1.000000,0.342510
8.000000,-11.000000,1,67,-60.685276,33.304424,6.556800,147.570751,-1.000000,0.344110
8.000000,-13.000000,1,66,-62.188039,31.801661,6.390400,162.270027,-1.000000,0.360755
8.000000,-15.000000,1,65,-63.591168,30.398532,6.544000,150.016242,-1.000000,0.345391
8.000000,-1.000000,1,72,-53.871400,40.118300,6.579200,147.382187,-1.000000,0.341869
8.000000,-3.000000,1,71,-54.627543,39.362157,6.537600,149.360441,-1.000000,0.346031
8.000000,-5.000000,1,70,-55.918550,38.071150,6.585600,346.149284,-1.000000,0.341229
8.000000,-7.000000,1,69,-57.473877,36.515823,6.560000,147.232466,-1.000000,0.343790
8.000000,-9.000000,1,68,-59.098220,34.891480,6.585600,147.960751,-1.000000,0.341229
