x,y,associated,offered_mbps,goodput_mbps,avg_rtt_ms,rtt_replies,tx_bytes,rx_bytes,loss_ratio,rssi_est_dbm,snr_est_db,seed,run,standard,transport,rateControl,channelWidth
20.000000,-1.000000,1,9.996800,6.528000,149.981074,14,3748800,2448000,0.346991,-65.724866,28.264834,1,168,ax,udp,adaptive,20
20.000000,-3.000000,1,9.996800,6.576000,147.930430,13,3748800,2466000,0.342190,-65.853550,28.136150,1,167,ax,udp,adaptive,20
20.000000,-5.000000,1,9.996800,6.585600,147.073880,14,3748800,2469600,0.341229,-66.103534,27.886166,1,166,ax,udp,adaptive,20
20.000000,-7.000000,1,9.996800,6.585600,147.376240,14,3748800,2469600,0.341229,-66.461395,27.528305,1,165,ax,udp,adaptive,20
20.000000,-9.000000,1,9.996800,6.601600,146.897491,14,3748800,2475600,0.339629,-66.909876,27.079824,1,164,ax,udp,adaptive,20
22.000000,11.000000,1,9.996800,6.582400,146.194892,14,3748800,2468400,0.341549,-68.404031,25.585669,1,190,ax,udp,adaptive,20
22.000000,13.000000,1,9.996800,6.428800,154.659983,13,3748800,2410800,0.356914,-68.901398,25.088302,1,191,ax,udp,adaptive,20
22.000000,15.000000,1,9.996800,6.582400,147.423903,14,3748800,2468400,0.341549,-69.437394,24.552307,1,192,ax,udp,adaptive,20
22.000000,1.000000,1,9.996800,5.785600,485.052936,9,3748800,2169600,0.421255,-66.963826,27.025874,1,185,ax,udp,adaptive,20
22.000000,3.000000,1,9.996800,6.553600,146.662039,14,3748800,2457600,0.344430,-67.070404,26.919296,1,186,ax,udp,adaptive,20
22.000000,5.000000,1,9.996800,6.608000,146.286839,14,3748800,2478000,0.338988,-67.278467,26.711233,1,187,ax,udp,adaptive,20
22.000000,7.000000,1,9.996800,6.531200,149.025304,14,3748800,2449200,0.346671,-67.578608,26.411092,1,188,ax,udp,adaptive,20
22.000000,9.000000,1,9.996800,6.566400,149.606916,13,3748800,2462400,0.343150,-67.958427,26.031273,1,189,ax,udp,adaptive,20
22.000000,-11.000000,1,9.996800,6.547200,145.888823,14,3748800,2455200,0.345070,-68.404031,25.585669,1,179,ax,udp,adaptive,20
22.000000,-13.000000,1,9.996800,6.588800,146.026126,14,3748800,2470800,0.340909,-68.901398,25.088302,1,178,ax,udp,adaptive,20
22.000000,-15.000000,1,9.996800,6.572800,148.812171,14,3748800,2464800,0.342510,-69.437394,24.552307,1,177,ax,udp,adaptive,20
22.000000,-1.000000,1,9.996800,6.592000,147.973872,14,3748800,2472000,0.340589,-66.963826,27.025874,1,184,ax,udp,adaptive,20
22.000000,-3.000000,1,9.996800,6.560000,154.110497,13,3748800,2460000,0.343790,-67.070404,26.919296,1,183,ax,udp,adaptive,20
22.000000,-5.000000,1,9.996800,6.531200,147.480475,14,3748800,2449200,0.346671,-67.278467,26.711233,1,182,ax,udp,adaptive,20
22.000000,-7.000000,1,9.996800,6.390400,157.602374,13,3748800,2396400,0.360755,-67.578608,26.411092,1,181,ax,udp,adaptive,20
22.000000,-9.000000,1,9.996800,6.403200,156.347219,13,3748800,2401200,0.359475,-67.958427,26.031273,1,180,ax,udp,adaptive,20
24.000000,11.000000,1,9.996800,6.534400,346.782552,12,3748800,2450400,0.346351,-69.326192,24.663508,1,206,ax,udp,adaptive,20
24.000000,13.000000,1,9.996800,6.438400,164.419923,12,3748800,2414400,0.355954,-69.760044,24.229656,1,207,ax,udp,adaptive,20
24.000000,15.000000,1,9.996800,6.390400,157.179246,13,3748800,2396400,0.360755,-70.232188,23.757512,1,208,ax,udp,adaptive,20
24.000000,1.000000,1,9.996800,6.563200,149.930283,14,3748800,2461200,0.343470,-68.095337,25.894363,1,201,ax,udp,adaptive,20
24.000000,3.000000,1,9.996800,6.563200,151.473334,13,3748800,2461200,0.343470,-68.185038,25.804662,1,202,ax,udp,adaptive,20
24.000000,5.000000,1,9.996800,6.576000,151.900131,13,3748800,2466000,0.342190,-68.360817,25.628883,1,203,ax,udp,adaptive,20
24.000000,7.000000,1,9.996800,6.572800,147.380058,14,3748800,2464800,0.342510,-68.615900,25.373800,1,204,ax,udp,adaptive,20
24.000000,9.000000,1,9.996800,6.380800,157.393815,13,3748800,2392800,0.361716,-68.941181,25.048519,1,205,ax,udp,adaptive,20
24.000000,-11.000000,1,9.996800,6.579200,147.420899,14,3748800,2467200,0.341869,-69.326192,24.663508,1,195,ax,udp,adaptive,20
24.000000,-13.000000,1,9.996800,6.371200,157.261795,13,3748800,2389200,0.362676,-69.760044,24.229656,1,194,ax,udp,adaptive,20
24.000000,-15.000000,1,9.996800,6.412800,159.923540,13,3748800,2404800,0.358515,-70.232188,23.757512,1,193,ax,udp,adaptive,20
24.000000,-1.000000,1,9.996800,6.566400,148.624283,14,3748800,2462400,0.343150,-68.095337,25.894363,1,200,ax,udp,adaptive,20
24.000000,-3.000000,1,9.996800,6.598400,147.141338,14,3748800,2474400,0.339949,-68.185038,25.804662,1,199,ax,udp,adaptive,20
24.000000,-5.000000,1,9.996800,6.563200,147.644606,14,3748800,2461200,0.343470,-68.360817,25.628883,1,198,ax,udp,adaptive,20
24.000000,-7.000000,1,9.996800,6.547200,147.183106,14,3748800,2455200,0.345070,-68.615900,25.373800,1,197,ax,udp,adaptive,20
24.000000,-9.000000,1,9.996800,6.576000,151.499053,13,3748800,2466000,0.342190,-68.941181,25.048519,1,196,ax,udp,adaptive,20
26.000000,11.000000,1,9.996800,6.368000,162.638556,13,3748800,2388000,0.362996,-70.199575,23.790125,1,222,ax,udp,adaptive,20
26.000000,13.000000,1,9.996800,6.057600,201.346978,14,3748800,2271600,0.394046,-70.580551,23.409149,1,223,ax,udp,adaptive,20
26.000000,15.000000,1,9.996800,6.566400,147.835357,14,3748800,2462400,0.343150,-70.998572,22.991128,1,224,ax,udp,adaptive,20
26.000000,1.000000,1,9.996800,6.566400,150.011861,13,3748800,2462400,0.343150,-69.136530,24.853170,1,217,ax,udp,adaptive,20
26.000000,3.000000,1,9.996800,6.508800,148.345725,14,3748800,2440800,0.348912,-69.213059,24.776641,1,218,ax,udp,adaptive,20
26.000000,5.000000,1,9.996800,6.556800,149.249734,13,3748800,2458800,0.344110,-69.363470,24.626230,1,219,ax,udp,adaptive,20
26.000000,7.000000,1,9.996800,6.233600,194.745325,13,3748800,2337600,0.376440,-69.582770,24.406930,1,220,ax,udp,adaptive,20
26.000000,9.000000,1,9.996800,6.572800,146.565486,14,3748800,2464800,0.342510,-69.864138,24.125562,1,221,ax,udp,adaptive,20
26.000000,-11.000000,1,9.996800,6.627200,147.909929,14,3748800,2485200,0.337068,-70.199575,23.790125,1,211,ax,udp,adaptive,20
26.000000,-13.000000,1,9.996800,6.588800,148.526016,14,3748800,2470800,0.340909,-70.580551,23.409149,1,210,ax,udp,adaptive,20
26.000000,-15.000000,1,9.996800,6.521600,146.155957,14,3748800,2445600,0.347631,-70.998572,22.991128,1,209,ax,udp,adaptive,20
26.000000,-1.000000,1,9.996800,6.361600,160.797153,12,3748800,2385600,0.363636,-69.136530,24.853170,1,216,ax,udp,adaptive,20
26.000000,-3.000000,1,9.996800,6.598400,147.784857,14,3748800,2474400,0.339949,-69.213059,24.776641,1,215,ax,udp,adaptive,20
26.000000,-5.000000,1,9.996800,6.560000,148.375329,14,3748800,2460000,0.343790,-69.363470,24.626230,1,214,ax,udp,adaptive,20
26.000000,-7.000000,1,9.996800,6.579200,150.237244,13,3748800,2467200,0.341869,-69.582770,24.406930,1,213,ax,udp,adaptive,20
26.000000,-9.000000,1,9.996800,6.547200,149.272914,13,3748800,2455200,0.345070,-69.864138,24.125562,1,212,ax,udp,adaptive,20
28.000000,11.000000,1,9.996800,6.521600,148.444357,14,3748800,2445600,0.347631,-71.027429,22.962271,1,238,ax,udp,adaptive,20
28.000000,13.000000,1,9.996800,6.569600,149.078605,14,3748800,2463600,0.342830,-71.364094,22.625607,1,239,ax,udp,adaptive,20
28.000000,15.000000,1,9.996800,6.566400,148.983960,13,3748800,2462400,0.343150,-71.736067,22.253633,1,240,ax,udp,adaptive,20
28.000000,1.000000,1,9.996800,6.531200,148.405310,14,3748800,2449200,0.346671,-70.100745,23.888955,1,233,ax,udp,adaptive,20
28.000000,3.000000,1,9.996800,6.572800,147.755224,14,3748800,2464800,0.342510,-70.166798,23.822902,1,234,ax,udp,adaptive,20
28.000000,5.000000,1,9.996800,6.595200,148.620179,14,3748800,2473200,0.340269,-70.296928,23.692772,1,235,ax,udp,adaptive,20
28.000000,7.000000,1,9.996800,6.547200,148.802171,14,3748800,2455200,0.345070,-70.487375,23.502325,1,236,ax,udp,adaptive,20
28.000000,9.000000,1,9.996800,6.598400,148.438899,14,3748800,2474400,0.339949,-70.732942,23.256758,1,237,ax,udp,adaptive,20
28.000000,-11.000000,1,9.996800,6.595200,147.477757,14,3748800,2473200,0.340269,-71.027429,22.962271,1,227,ax,udp,adaptive,20
28.000000,-13.000000,1,9.996800,6.412800,142.521775,13,3748800,2404800,0.358515,-71.364094,22.625607,1,226,ax,udp,adaptive,20
28.000000,-15.000000,1,9.996800,6.502400,154.765237,14,3748800,2438400,0.349552,-71.736067,22.253633,1,225,ax,udp,adaptive,20
28.000000,-1.000000,1,9.996800,6.585600,149.000745,14,3748800,2469600,0.341229,-70.100745,23.888955,1,232,ax,udp,adaptive,20
28.000000,-3.000000,1,9.996800,6.572800,148.272054,14,3748800,2464800,0.342510,-70.166798,23.822902,1,231,ax,udp,adaptive,20
28.000000,-5.000000,1,9.996800,6.566400,146.269311,14,3748800,2462400,0.343150,-70.296928,23.692772,1,230,ax,udp,adaptive,20
28.000000,-7.000000,1,9.996800,6.582400,148.406965,14,3748800,2468400,0.341549,-70.487375,23.502325,1,229,ax,udp,adaptive,20
28.000000,-9.000000,1,9.996800,6.441600,159.122148,12,3748800,2415600,0.355634,-70.732942,23.256758,1,228,ax,udp,adaptive,20
2.000000,11.000000,1,9.996800,6.572800,147.204402,14,3748800,2464800,0.342510,-58.131350,35.858350,1,30,ax,udp,adaptive,20
2.000000,13.000000,1,9.996800,6.585600,147.627723,14,3748800,2469600,0.341229,-60.248392,33.741308,1,31,ax,udp,adaptive,20
2.000000,15.000000,1,9.996800,6.540800,147.947050,14,3748800,2452800,0.345711,-62.075232,31.914468,1,32,ax,udp,adaptive,20
2.000000,1.000000,1,9.996800,6.556800,148.125507,14,3748800,2458800,0.344110,-37.162250,56.827450,1,25,ax,udp,adaptive,20
